acousticness,danceability,duration,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,tempo_confidence,time_signature,valence,name,artist,Like
0.0464,0.595,217.98667,217987,0.506,36,0.000138,4,0.107,-9.682,1,65,10/2/09,0.0388,141.981,0.695,4,0.346,The Cave,Mumford & Sons,N
0.000511,0.239,142.01324,142013,0.938,37,7.07E-06,2,0.123,-5.119,1,29,2001,0.151,53.065,0.064,4,0.351,Well Paid Scientist,Dead Kennedys,Y
0.000809,0.532,227.26667,227267,0.922,38,1.69E-06,6,0.148,-4.839,0,31,8/8/06,0.0756,114.423,0.743,4,0.676,Only For The Night,Rx Bandits,Y
0.844,0.593,238.52,238520,0.263,39,5.36E-06,4,0.127,-14.029,0,68,2/19/08,0.0567,76.379,0.278,4,0.109,Skinny Love,Bon Iver,N
0.0967,0.808,272.82667,272827,0.562,40,0.00951,0,0.164,-9.018,1,21,10/20/98,0.0602,92.765,0.541,4,0.927,No More Crying,The Slackers,Y
0.825,0.561,240.74998,240750,0.302,41,5.21E-06,3,0.131,-10.986,1,76,4/10/70,0.0319,128.172,0.204,4,0.278,Your Song,Elton John,N
0.256,0.51,179.61333,179613,0.488,42,0,7,0.11,-10.304,1,66,4/22/68,0.0304,125.683,0.529,4,0.649,Daydream Believer,The Monkees,N
0.578,0.746,146.32,146320,0.83,43,0.0015,0,0.333,-5.709,1,28,5/22/07,0.0415,89.974,0.199,4,0.971,Lady Demeter,Tim Armstrong,Y
0.941,0.612,251.26667,251267,0.297,44,1.45E-06,10,0.109,-7.571,1,47,2009,0.0308,99.937,0.178,4,0.46,The Gambler,fun.,N
0.565,0.633,189.90667,189907,0.934,45,0,11,0.813,-6.325,1,27,4/27/99,0.259,144.865,0.198,4,0.303,Filipino Box Spring Hog,Tom Waits,Y
0.325,0.508,234.301,234301,0.46,46,0,11,0.648,-7.662,1,55,10/20/17,0.0404,75.836,0.302,4,0.565,Drift Away,Dobie Gray,N
0.000293,0.371,268.62667,268627,0.914,47,8.75E-05,11,0.0852,-4.917,0,45,2/21/06,0.081,134.982,0.388,4,0.394,Perhaps Vampires Is A Bit Strong But,Arctic Monkeys,Y
0.000383,0.554,205.41333,205413,0.789,48,1.38E-05,9,0.277,-3.015,0,51,1/1/07,0.102,135.072,0.825,4,0.582,Tick Tick Boom,The Hives,Y
